date,horizon,rate,std
1989-01-01,1,5.933813155369588,0.3448571717775071
1989-01-01,2,6.057229939093669,0.30993990764255624
1989-01-01,3,6.179980523724151,0.27530121725810436
1989-01-01,4,6.301731865221571,0.241089600781093
1989-01-01,5,6.422150919546472,0.20748140988189573
1989-01-01,6,6.5409046426593935,0.17469778022459415
1989-01-01,7,6.657659990520868,0.14303556052505453
1989-01-01,8,6.772083919091443,0.11293919857691763
1989-01-01,9,6.883843384331657,0.08521700229520635
1989-01-01,10,6.992605342202046,0.06180415857830743
1989-01-01,11,7.098036748663154,0.04824346023641209
1989-01-01,12,7.199804559675514,0.05285783145173974
1989-01-01,13,7.297575731199673,0.07093884583802934
1989-01-01,14,7.391017219196168,0.0933614222987327
1989-01-01,15,7.479795979625538,0.11656121838875672
1989-01-01,16,7.563587129335402,0.13930681401588513
1989-01-01,17,7.64215591269483,0.16107766775968274
1989-01-01,18,7.715412260658857,0.18163288491886423
1989-01-01,19,7.783379562314072,0.20086377476039383
1989-01-01,20,7.846166301763903,0.21873385399795844
1989-01-01,21,7.903945798375053,0.23525063316756933
1989-01-01,22,7.956941472160167,0.25045060749833054
1989-01-01,23,8.00541595280656,0.26439048378875296
1989-01-01,24,8.049662911334375,0.277141667786857
1989-01-01,25,8.090000852078294,0.28878660068723205
1989-01-01,26,8.126768337233832,0.2994162152613092
1989-01-01,27,8.160320272576227,0.30912810699849996
1989-01-01,28,8.191024989068271,0.31802518233163524
1989-01-01,29,8.219261928252624,0.3262146370896135
1989-01-01,30,8.245419790550237,0.33380717079070815
1989-06-02,1,5.85207387704819,0.30595152592795166
1989-06-02,2,5.9614148689613184,0.27525902787795914
1989-06-02,3,6.070165642368438,0.24477491352722672
1989-06-02,4,6.178031137193229,0.21461332808787847
1989-06-02,5,6.28471629335936,0.18490624229465433
1989-06-02,6,6.389926050790513,0.1558182464444106
1989-06-02,7,6.493365349410358,0.12757886832542936
1989-06-02,8,6.594739129142575,0.10055763184497596
1989-06-02,9,6.693752329910839,0.07545408652311789
1989-06-02,10,6.790109891638817,0.05393427759036652
1989-06-02,11,6.8835167542501985,0.04062640615399495
1989-06-02,12,6.9736778576686484,0.04290851134296506
1989-06-02,13,7.060298141817846,0.057674814485366474
1989-06-02,14,7.143082546621469,0.07679031491109646
1989-06-02,15,7.221736012003186,0.09683349175087226
1989-06-02,16,7.295970708017474,0.11659497847874416
1989-06-02,17,7.365578653117823,0.13556142569459087
1989-06-02,18,7.430480050712394,0.15349474528218385
1989-06-02,19,7.490695622342055,0.1702862176220923
1989-06-02,20,7.546321479403636,0.18589681204549524
1989-06-02,21,7.597511174038918,0.20032924260319274
1989-06-02,22,7.644462645013266,0.2136132780383704
1989-06-02,23,7.687408568869138,0.22579728531787424
1989-06-02,24,7.7266091231907135,0.23694299888884365
1989-06-02,25,7.7623464866155585,0.24712209484382053
1989-06-02,26,7.794920608025544,0.25641384230514985
1989-06-02,27,7.824645915882734,0.26490343315969495
1989-06-02,28,7.851848732682408,0.27268075860916613
1989-06-02,29,7.876865224328394,0.27983949144607567
1989-06-02,30,7.900039759619658,0.2864763844625693
1990-01-01,1,5.764422374566634,0.2644915630286522
1990-01-01,2,5.862188389919995,0.2384238781609733
1990-01-01,3,5.959426668049555,0.21257430260469676
1990-01-01,4,6.055873384314179,0.1870506725611926
1990-01-01,5,6.1512647140727434,0.16197819724989385
1990-01-01,6,6.24533683268412,0.13751065880418673
1990-01-01,7,6.337825915507176,0.11385249864804395
1990-01-01,8,6.42846813790079,0.09130923072111527
1990-01-01,9,6.516999675223829,0.07042634887959262
1990-01-01,10,6.603156702835164,0.05244065166032404
1990-01-01,11,6.68667539609367,0.040692524642574786
1990-01-01,12,6.767291930358216,0.041181152735894795
1990-01-01,13,6.844742480987675,0.05270760371885637
1990-01-01,14,6.918763223340916,0.06845353080134325
1990-01-01,15,6.989090332776815,0.0851876942511872
1990-01-01,16,7.055466449394183,0.10177444351045456
1990-01-01,17,7.1177056088377295,0.11774241108279992
1990-01-01,18,7.1757364618843775,0.13287272212112922
1990-01-01,19,7.229577536466306,0.14706249472823832
1990-01-01,20,7.279314769505557,0.1602710199008481
1990-01-01,21,7.325085457918766,0.17249497712604875
1990-01-01,22,7.367066586421678,0.18375542718668375
1990-01-01,23,7.405466200121846,0.19409027859712577
1990-01-01,24,7.440516933873267,0.2035495883354905
1990-01-01,25,7.472471094523812,0.21219246015990925
1990-01-01,26,7.501596877984977,0.22008490570256167
1990-01-01,27,7.528175426921668,0.2272983176107225
1990-01-01,28,7.55249851891451,0.2339083490616109
1990-01-01,29,7.574866732916921,0.2399940730406014
1990-01-01,30,7.595587982408538,0.24563734026591175
1990-06-02,1,5.635446990218181,0.26324866408091874
1990-06-02,2,5.747866152856185,0.2372495457922589
1990-06-02,3,5.859678481139954,0.21145880783441975
1990-06-02,4,5.970580608453477,0.18598279601028464
1990-06-02,5,6.080269168180738,0.16094510254080927
1990-06-02,6,6.188440793705726,0.13649734423857127
1990-06-02,7,6.29479211841242,0.11283994703828823
1990-06-02,8,6.399019775684816,0.09026958059092122
1990-06-02,9,6.500820398906892,0.06931032327693498
1990-06-02,10,6.599890621462635,0.05112694007910244
1990-06-02,11,6.695927076736036,0.038815860758199004
1990-06-02,12,6.788626398111073,0.038324165884241916
1990-06-02,13,6.877685218971739,0.049342399089348496
1990-06-02,14,6.962800172702017,0.06504079618981283
1990-06-02,15,7.043667892685892,0.08185955637416245
1990-06-02,16,7.119992445980991,0.09854579546256018
1990-06-02,17,7.191559995938383,0.11459783991056077
